HTTrack3.49-2 launched on Mon, 04 Jul 2022 12:03:49 at https://www.vatican.va/
(/usr/bin/httrack -iC1 -r6 https://www.vatican.va/ )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

12:03:52	Warning: 	Found for https://www.vatican.va/
14:03:37	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/silvestro-iii.pdf
14:03:51	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/benedetto-ix-1.pdf
14:04:04	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/giovanni-xix.pdf
14:04:19	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/benedetto-viii.pdf
14:04:34	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/sergio-iv.pdf
14:04:48	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/giovanni-xviii.pdf
14:05:03	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/giovanni-xvii.pdf
14:05:18	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/silvestro-ii.pdf
14:05:32	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/gregorio-v.pdf
14:05:48	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/giovanni-xv.pdf
14:06:01	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/giovanni-xiv.pdf
14:06:13	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/benedetto-vii.pdf
14:06:27	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/benedetto-vi.pdf
14:06:41	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/giovanni-xiii.pdf
14:06:55	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/benedetto-v.pdf
14:07:11	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/leone-viii.pdf
14:07:24	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/giovanni-xii.pdf
14:07:37	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/agapito-ii.pdf
14:07:51	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/marino-ii.pdf
14:08:05	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/stefano-viii--ix.pdf
14:08:20	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/leone-vii.pdf
14:08:34	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/giovanni-xi0.pdf
14:08:49	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/stefano-vii--viii.pdf
14:09:04	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/leone-vi.pdf
14:09:19	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/giovanni-x.pdf
14:09:35	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/landone.pdf
14:09:51	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/anastasio-iii.pdf
14:10:06	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/sergio-iii.pdf
14:10:19	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/leone-v.pdf
14:10:35	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/benedetto-iv.pdf
14:10:50	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/giovanni-ix.pdf
14:11:05	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/teodoro-ii.pdf
14:11:18	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/romano.pdf
14:11:31	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/stefano-vi--vii.pdf
14:11:44	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/bonifacio-vi.pdf
14:11:58	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/formoso.pdf
14:12:13	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/stefano-v--vi.pdf
14:12:29	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/adriano-iii.pdf
14:12:45	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/marino-i.pdf
14:12:59	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/giovanni-viii0.pdf
14:13:13	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/adriano-ii.pdf
14:13:28	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/niccolo-il-grande.pdf
14:13:42	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/benedetto-iii.pdf
14:13:55	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/leone-iv.pdf
14:14:11	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/sergio-ii.pdf
14:14:25	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/gregorio-iv.pdf
14:14:40	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/valentino.pdf
14:14:55	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/eugenio-ii.pdf
14:15:11	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/pasquale-i.pdf
14:15:27	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/stefano-iv--v.pdf
14:15:41	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/leone-iii.pdf
14:15:55	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/adriano-i.pdf
14:16:09	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/stefano-iii--iv.pdf
14:16:23	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/paolo-i0.pdf
14:16:37	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/stefano-ii--iii.pdf
14:16:51	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/zaccaria.pdf
